Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1948,London,Athletics,Athletics,"SIMONETTO DE PORTELA, Noemi",Argentina,Women,Long Jump,Silver
1948,London,Athletics,Athletics,"CABRERA, Delfo",Argentina,Men,Marathon,Gold
1948,London,Boxing,Boxing,"PEREZ, Pascual Nicolas",Argentina,Men,- 51KG (Flyweight),Gold
1948,London,Boxing,Boxing,"IGLESIAS, Rafael",Argentina,Men,+ 80KG (Heavyweight),Gold
1948,London,Boxing,Boxing,"CIA, Mauro",Argentina,Men,73 - 80KG (Light-Heavyweight),Bronze
1948,London,Sailing,Sailing,"HOMP, Emilio C.",Argentina,Men,6M,Silver
1948,London,Sailing,Sailing,"RIVADEMAR, Rodolfo",Argentina,Men,6M,Silver
1948,London,Sailing,Sailing,"RODRIGUEZ DE LA TORRE, Rufino",Argentina,Men,6M,Silver
1948,London,Sailing,Sailing,"SIEBURGER JR., Enrique Conrado",Argentina,Men,6M,Silver
1948,London,Sailing,Sailing,"SIEBURGER SR., Enrique Conrado",Argentina,Men,6M,Silver
1948,London,Sailing,Sailing,"SIEBURGER, Julio Christian",Argentina,Men,6M,Silver
1948,London,Shooting,Shooting,"DIAZ SAENZ VALIENTE, Carlos Enrique",Argentina,Men,25M Rapid Fire Pistol (60 Shots),Silver
1948,London,Aquatics,Swimming,"DAVIES, Judith Joy",Australia,Women,100M Backstroke,Bronze
1948,London,Aquatics,Swimming,"MARSHALL, John Birnie",Australia,Men,1500M Freestyle,Silver
1948,London,Aquatics,Swimming,"LYONS, Beatrice Nancy",Australia,Women,200M Breaststroke,Silver
1948,London,Aquatics,Swimming,"MARSHALL, John Birnie",Australia,Men,400M Freestyle,Bronze
1948,London,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",Australia,Women,100M,Bronze
1948,London,Athletics,Athletics,"KING-WALKER, Joyce A.",Australia,Women,4X100M Relay,Silver
1948,London,Athletics,Athletics,"MASTON-FERGSON, June Rit",Australia,Women,4X100M Relay,Silver
1948,London,Athletics,Athletics,"MCKINNON, Elizabeth",Australia,Women,4X100M Relay,Silver
1948,London,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",Australia,Women,4X100M Relay,Silver
1948,London,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",Australia,Women,80M Hurdles,Bronze
1948,London,Athletics,Athletics,"WINTER, John",Australia,Men,High Jump,Gold
1948,London,Athletics,Athletics,"BRUCE, Thomas Theodore",Australia,Men,Long Jump,Silver
1948,London,Athletics,Athletics,"AVERY, George Gordon",Australia,Men,Triple Jump,Silver
1948,London,Rowing,Rowing,"WOOD, Merwyn Thomas",Australia,Men,Single Sculls (1X),Gold
1948,London,Wrestling,Wrestling Free.,"ARMSTRONG, Joseph",Australia,Men,+ 87KG (Heavyweight),Bronze
1948,London,Wrestling,Wrestling Free.,"GARRARD, Richard Edward",Australia,Men,67 - 73KG (Welterweight),Silver
1948,London,Athletics,Athletics,"BAUMA, Hermine (Herma)",Austria,Women,Javelin Throw,Gold
1948,London,Athletics,Athletics,"SCHÄFFER-MAYER, Ine",Austria,Women,Shot Put,Bronze
1948,London,Canoe / Kayak,Canoe / Kayak F,"SCHWINGL, Friederike",Austria,Women,K-1 500M (Kayak Single),Bronze
1948,London,Fencing,Fencing,"PREIS-MÜLLER, Ellen S.",Austria,Women,Foil Individual,Bronze
1948,London,Athletics,Athletics,"REIFF, Gaston Etienne",Belgium,Men,5000M,Gold
1948,London,Athletics,Athletics,"GAILLY, Etienne",Belgium,Men,Marathon,Bronze
1948,London,Boxing,Boxing,"VISSERS, Joseph",Belgium,Men,58 - 62KG (Lightweight),Silver
1948,London,Cycling,Cycling Road,"WOUTERS, Lode Alphonse",Belgium,Men,Individual Road Race,Bronze
1948,London,Cycling,Cycling Road,"DELATHOUWER, Leon",Belgium,Men,Team Time Trial,Gold
1948,London,Cycling,Cycling Road,"VAN ROSOSBROECK, Eugene",Belgium,Men,Team Time Trial,Gold
1948,London,Cycling,Cycling Road,"WOUTERS, Lode Alphonse",Belgium,Men,Team Time Trial,Gold
1948,London,Cycling,Cycling Track,"NIHANT, Pierre",Belgium,Men,1KM Time Trial,Silver
1948,London,Fencing,Fencing,"BRU, Raymond",Belgium,Men,Foil Team,Bronze
1948,London,Fencing,Fencing,"DE BOURGIGNON, Georges Camille",Belgium,Men,Foil Team,Bronze
