Country,Year,Developed,Medals,,,,,,,,,
Afghanistan,1948,F,0,,,,,,,,,
Afghanistan,1952,F,0,,,,,,,,,
Afghanistan,1956,F,0,,,,,,,,,
Afghanistan,1960,F,0,,,,,,,,,
Afghanistan,1964,F,0,,,,,,,,,
Afghanistan,1968,F,0,,,,,,,,,
Afghanistan,1972,F,0,,,,,,,,,
Afghanistan,1976,F,0,,,,,,,,,
Afghanistan,1980,F,0,,,,,,,,,
Afghanistan,1984,F,0,,,,,,,,,
Afghanistan,1988,F,0,,,,,,,,,
Afghanistan,1992,F,0,,,,,,,,,
Afghanistan,1996,F,0,,,,,,,,,
Afghanistan,2000,F,0,,,,,,,,,
Afghanistan,2004,F,0,,,,,,,,,
Afghanistan,2008,F,1,,,,,,,,,
Afghanistan,2012,F,1,,,,,,,,,
Algeria,1948,F,0,,,,,,,,,
Algeria,1952,F,0,,,,,,,,,
Algeria,1956,F,0,,,,,,,,,
Algeria,1960,F,0,,,,,,,,,
Algeria,1964,F,0,,,,,,,,,
Algeria,1968,F,0,,,,,,,,,
Algeria,1972,F,0,,,,,,,,,
Algeria,1976,F,0,,,,,,,,,
Algeria,1980,F,0,,,,,,,,,
Algeria,1984,F,2,,,,,,,,,
Algeria,1988,F,0,,,,,,,,,
Algeria,1992,F,2,,,,,,,,,
Algeria,1996,F,3,,,,,,,,,
Algeria,2000,F,5,,,,,,,,,
Algeria,2004,F,0,,,,,,,,,
Algeria,2008,F,2,,,,,,,,,
Algeria,2012,F,1,,,,,,,,,
Argentina,1948,T,12,,,,,,,,,
Argentina,1952,T,6,,,,,,,,,
Argentina,1956,T,2,,,,,,,,,
Argentina,1960,T,4,,,,,,,,,
Argentina,1964,T,1,,,,,,,,,
Argentina,1968,T,2,,,,,,,,,
Argentina,1972,F,1,,,,,,,,,
Argentina,1976,F,0,,,,,,,,,
Argentina,1980,T,0,,,,,,,,,
Argentina,1984,T,0,,,,,,,,,
Argentina,1988,T,13,,,,,,,,,
Argentina,1992,T,2,,,,,,,,,
Argentina,1996,T,20,,,,,,,,,
Argentina,2000,T,20,,,,,,,,,
Argentina,2004,T,47,,,,,,,,,
Argentina,2008,T,51,,,,,,,,,
Argentina,2012,F,20,,,,,,,,,
Armenia,1948,F,0,,,,,,,,,
Armenia,1952,F,0,,,,,,,,,
Armenia,1956,F,0,,,,,,,,,
Armenia,1960,T,0,,,,,,,,,
Armenia,1964,T,0,,,,,,,,,
Armenia,1968,T,0,,,,,,,,,
Armenia,1972,F,0,,,,,,,,,
