Year,Country,Count
1948,Afghanistan,0
1948,Algeria,0
1948,Argentina,12
1948,Armenia,0
1948,Australia,16
1948,Austria,4
1948,Azerbaijan,0
1948,Bahamas,0
1948,Bahrain,0
1948,Belarus,0
1948,Belgium,14
1948,Bermuda,0
1948,Botswana,0
1948,Brazil,12
1948,Bulgaria,0
1948,Burundi,0
1948,Cameroon,0
1948,Canada,6
1948,Chile,0
1948,China,0
1948,Colombia,0
1948,Costa Rica,0
1948,Croatia,0
1948,Cuba,2
1948,Cyprus,0
1948,Czech Republic,20
1948,Denmark,49
1948,Djibouti,0
1948,Dominican Republic,0
1948,Ecuador,0
1948,Egypt,5
1948,Eritrea,0
1948,Estonia,0
1948,Ethiopia,0
1948,Finland,29
1948,France,68
1948,Georgia,0
1948,Germany,0
1948,Ghana,0
1948,Greece,0
1948,Grenada,0
1948,Guatemala,0
1948,Guyana,0
1948,Hong Kong,0
1948,Hungary,60
1948,Iceland,0
1948,India,20
1948,Indonesia,0
1948,Iran,1
1948,Iraq,0
1948,Ireland,0
1948,Israel,0
1948,Italy,63
1948,Ivory Coast,0
1948,Jamaica,3
1948,Japan,0
1948,Kazakhstan,0
1948,Kenya,0
1948,Kuwait,0
1948,Kyrgyzstan,0
1948,Latvia,0
1948,Lithuania,0
1948,Macedonia,0
1948,Malaysia,0
1948,Mauritius,0
1948,Mexico,9
1948,Mongolia,0
1948,Montenegro,0
1948,Morocco,0
1948,Mozambique,0
1948,Namibia,0
1948,Netherlands,42
1948,New Zealand,0
1948,Niger,0
1948,Nigeria,0
1948,North Korea,0
1948,Norway,18
1948,Pakistan,0
1948,Panama,2
1948,Paraguay,0
1948,Peru,1
1948,Philippines,0
1948,Poland,1
1948,Portugal,5
1948,Puerto Rico,1
1948,Qatar,0
1948,Romania,0
1948,Russia,0
1948,Saudi Arabia,0
1948,Senegal,0
1948,Serbia,16
1948,Singapore,0
1948,Slovakia,0
1948,Slovenia,0
1948,South Africa,4
1948,South Korea,2
1948,Spain,3
1948,Sri Lanka,1
1948,Sudan,0
1948,Suriname,0
1948,Sweden,73
1948,Switzerland,32
1948,Syria,0
1948,Taiwan,0
1948,Tajikistan,0
1948,Tanzania,0
1948,Thailand,0
1948,Togo,0
1948,Tonga,0
1948,Trinidad and Tobago,1
1948,Tunisia,0
1948,Turkey,12
1948,Uganda,0
1948,Ukraine,0
1948,United Kingdom,56
1948,United States of America,148
1948,Uruguay,3
1948,Uzbekistan,0
1948,Venezuela,0
1948,Vietnam,0
1948,Virgin Islands,0
1948,Zambia,0
1948,Zimbabwe,0
1952,Afghanistan,0
1952,Algeria,0
1952,Argentina,6
1952,Armenia,0
1952,Australia,20
1952,Austria,3
1952,Azerbaijan,0
1952,Bahamas,0
1952,Bahrain,0
1952,Belarus,0
1952,Belgium,7
1952,Bermuda,0
1952,Botswana,0
1952,Brazil,3
1952,Bulgaria,1
1952,Burundi,0
1952,Cameroon,0
1952,Canada,4
1952,Chile,4
1952,China,0
1952,Colombia,0
1952,Costa Rica,0
1952,Croatia,0
1952,Cuba,0
1952,Cyprus,0
1952,Czech Republic,25
1952,Denmark,9
1952,Djibouti,0
1952,Dominican Republic,0
1952,Ecuador,0
1952,Egypt,1
1952,Eritrea,0
1952,Estonia,0
1952,Ethiopia,0
1952,Finland,40
1952,France,39
1952,Georgia,0
1952,Germany,40
1952,Ghana,0
1952,Greece,0
1952,Grenada,0
1952,Guatemala,0
1952,Guyana,0
1952,Hong Kong,0
1952,Hungary,101
1952,Iceland,0
1952,India,15
1952,Indonesia,0
1952,Iran,7
1952,Iraq,0
1952,Ireland,1
1952,Israel,0
1952,Italy,53
1952,Ivory Coast,0
1952,Jamaica,8
1952,Japan,12
1952,Kazakhstan,0
1952,Kenya,0
1952,Kuwait,0
1952,Kyrgyzstan,0
1952,Latvia,0
1952,Lithuania,0
1952,Macedonia,0
1952,Malaysia,0
1952,Mauritius,0
1952,Mexico,1
1952,Mongolia,0
1952,Montenegro,0
1952,Morocco,0
1952,Mozambique,0
1952,Namibia,0
1952,Netherlands,18
1952,New Zealand,3
1952,Niger,0
1952,Nigeria,0
1952,North Korea,0
1952,Norway,13
1952,Pakistan,0
1952,Panama,0
1952,Paraguay,0
1952,Peru,0
1952,Philippines,0
1952,Poland,4
1952,Portugal,2
1952,Puerto Rico,0
1952,Qatar,0
1952,Romania,4
1952,Russia,117
1952,Saudi Arabia,0
1952,Senegal,0
1952,Serbia,24
1952,Singapore,0
1952,Slovakia,0
1952,Slovenia,0
1952,South Africa,14
1952,South Korea,2
1952,Spain,1
1952,Sri Lanka,0
1952,Sudan,0
1952,Suriname,0
1952,Sweden,70
1952,Switzerland,33
1952,Syria,0
1952,Taiwan,0
1952,Tajikistan,0
1952,Tanzania,0
1952,Thailand,0
1952,Togo,0
1952,Tonga,0
1952,Trinidad and Tobago,2
1952,Tunisia,0
1952,Turkey,3
1952,Uganda,0
1952,Ukraine,0
1952,United Kingdom,31
1952,United States of America,130
1952,Uruguay,14
1952,Uzbekistan,0
1952,Venezuela,1
1952,Vietnam,0
1952,Virgin Islands,0
1952,Zambia,0
1952,Zimbabwe,0
1956,Afghanistan,0
1956,Algeria,0
1956,Argentina,2
1956,Armenia,0
1956,Australia,61
1956,Austria,4
1956,Azerbaijan,0
1956,Bahamas,2
1956,Bahrain,0
1956,Belarus,0
1956,Belgium,2
1956,Bermuda,0
1956,Botswana,0
1956,Brazil,1
1956,Bulgaria,18
1956,Burundi,0
1956,Cameroon,0
1956,Canada,19
1956,Chile,4
1956,China,0
1956,Colombia,0
1956,Costa Rica,0
1956,Croatia,0
1956,Cuba,0
1956,Cyprus,0
1956,Czech Republic,7
1956,Denmark,7
1956,Djibouti,0
1956,Dominican Republic,0
1956,Ecuador,0
1956,Egypt,0
1956,Eritrea,0
1956,Estonia,0
1956,Ethiopia,0
1956,Finland,26
1956,France,32
1956,Georgia,0
1956,Germany,57
1956,Ghana,0
1956,Greece,1
1956,Grenada,0
1956,Guatemala,0
1956,Guyana,0
1956,Hong Kong,0
1956,Hungary,64
1956,Iceland,1
1956,India,17
1956,Indonesia,0
1956,Iran,5
1956,Iraq,0
1956,Ireland,5
1956,Israel,0
1956,Italy,46
1956,Ivory Coast,0
1956,Jamaica,0
1956,Japan,24
1956,Kazakhstan,0
1956,Kenya,0
1956,Kuwait,0
1956,Kyrgyzstan,0
1956,Latvia,0
1956,Lithuania,0
1956,Macedonia,0
1956,Malaysia,0
1956,Mauritius,0
1956,Mexico,2
1956,Mongolia,0
1956,Montenegro,0
1956,Morocco,0
1956,Mozambique,0
1956,Namibia,0
1956,Netherlands,0
1956,New Zealand,3
1956,Niger,0
1956,Nigeria,0
1956,North Korea,0
1956,Norway,3
1956,Pakistan,14
1956,Panama,0
1956,Paraguay,0
1956,Peru,0
1956,Philippines,0
